,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
495,1,1,4.4,356,0,16,199,150.0,0
496,0,1,3.7,17,0,9,50,400.0,75
497,0,1,3.9,38,0,9,70,150.0,76
498,1,1,3.7,78,0,10,54,150.0,0
499,1,1,3.8,60,0,9,54,400.0,0
500,0,1,4.0,115,0,16,67,400.0,77
501,1,1,3.8,39,0,12,26,300.0,0
502,0,1,3.9,116,0,9,75,400.0,78
503,0,1,3.8,918,0,1,2,800.0,0
504,1,1,3.7,46,0,20,67,400.0,0
505,0,1,3.9,41,0,9,69,300.0,0
506,0,1,3.8,144,0,4,14,700.0,0
507,1,1,3.8,28,0,25,142,150.0,0
508,0,1,4.3,860,0,9,125,500.0,0
509,1,1,3.5,14,0,16,67,200.0,0
510,1,1,4.0,66,0,12,26,300.0,0
511,0,1,3.2,8,0,16,67,100.0,79
512,0,1,3.7,54,0,25,189,400.0,0
513,1,1,3.5,7,0,9,69,500.0,0
514,1,1,3.2,9,0,9,70,300.0,0
515,1,1,3.6,42,0,24,240,300.0,0
516,1,1,3.8,64,0,2,72,250.0,0
517,0,1,3.6,14,0,12,26,350.0,80
518,1,1,3.8,45,0,13,54,400.0,0
519,1,1,3.2,11,0,4,20,600.0,0
520,1,1,3.5,13,0,12,26,300.0,0
521,1,1,3.4,7,0,9,43,150.0,0
522,1,1,3.4,8,0,12,26,400.0,0
525,1,1,2.9,25,0,9,43,200.0,0
526,1,1,0.0,0,0,12,54,300.0,0
527,1,1,3.2,17,0,9,125,150.0,0
531,0,1,0.0,0,0,2,225,200.0,81
532,0,1,3.9,35,0,7,26,500.0,82
533,0,1,3.9,70,0,9,170,400.0,0
534,1,1,0.0,0,0,9,70,100.0,0
535,1,1,4.0,98,1,20,241,400.0,0
536,1,1,3.7,25,1,9,43,250.0,0
537,0,1,4.0,219,1,4,24,600.0,83
538,0,1,4.0,73,1,12,208,300.0,55
539,1,1,3.6,16,1,19,242,150.0,0
540,1,1,3.6,8,1,12,26,250.0,0
541,0,1,3.8,15,1,12,54,400.0,0
542,1,1,3.6,46,1,20,67,200.0,0
544,0,1,3.3,13,1,18,94,300.0,84
545,0,1,3.3,9,1,9,69,250.0,85
546,0,1,4.0,43,1,9,125,250.0,86
547,0,1,2.7,97,1,0,80,400.0,0
549,0,1,3.7,22,1,16,139,250.0,87
550,1,1,3.5,15,1,19,54,400.0,0
552,0,1,3.6,27,1,9,63,250.0,88
553,0,0,0.0,0,0,0,243,500.0,89
554,0,1,3.9,888,0,0,238,750.0,90
555,0,0,4.0,349,0,0,159,1200.0,91
556,0,1,4.2,287,0,2,5,350.0,0
557,0,0,4.6,2556,0,3,7,600.0,0
558,0,0,4.2,354,0,0,48,800.0,92
559,0,0,4.1,775,0,0,0,800.0,0
560,0,0,4.2,2115,0,0,228,800.0,0
561,1,0,3.8,977,0,32,244,1300.0,0
562,1,1,4.1,868,0,11,56,1200.0,0
563,0,1,4.0,324,0,4,8,700.0,93
564,0,1,4.1,787,0,0,1,800.0,0
565,0,1,4.2,504,0,4,9,550.0,94
566,0,1,4.1,402,0,4,10,500.0,95
567,0,0,4.2,150,0,4,8,600.0,96
568,0,0,4.2,164,0,4,11,500.0,97
569,1,1,4.2,244,0,0,51,800.0,0
570,0,1,4.0,771,0,0,71,450.0,98
571,0,1,4.2,1647,0,0,31,600.0,0
572,1,0,4.0,808,0,0,38,850.0,0
573,1,1,4.0,424,0,4,12,450.0,0
574,0,1,3.9,135,0,0,122,800.0,99
575,1,1,0.0,0,0,28,245,1000.0,0
576,1,1,3.9,28,0,8,33,300.0,0
577,0,1,3.8,918,0,1,2,800.0,0
578,0,1,3.8,90,0,4,10,650.0,0
579,0,1,3.9,519,0,0,246,900.0,0
580,0,1,3.6,105,0,0,123,700.0,0
581,1,1,3.7,43,0,33,38,700.0,0
582,1,1,3.7,46,0,20,67,400.0,0
583,0,1,3.9,133,0,4,13,800.0,100
584,0,1,3.8,144,0,4,14,700.0,0
585,1,1,3.9,93,0,4,15,300.0,0
586,0,1,3.8,42,0,2,71,300.0,27
587,0,1,2.5,247,0,0,5,500.0,101
588,0,1,3.1,13,0,4,11,400.0,102
589,1,1,3.7,39,0,0,38,450.0,0
590,0,1,3.0,62,0,4,16,400.0,103
591,0,1,3.8,160,0,0,38,700.0,104
592,1,1,3.5,14,0,16,67,200.0,0
593,1,1,3.8,42,0,0,38,700.0,0
594,0,1,3.1,119,0,0,106,700.0,0
595,0,1,3.6,129,0,0,181,600.0,105
597,1,1,3.3,62,0,17,71,800.0,0
599,0,1,3.6,24,0,0,38,600.0,0
601,1,1,2.6,283,0,0,5,600.0,0
602,1,1,3.6,42,0,24,240,300.0,0
603,1,1,3.4,10,0,2,247,300.0,0
604,1,1,3.7,39,0,0,73,950.0,0
605,0,1,3.8,59,0,0,38,750.0,0
606,0,1,3.5,179,0,0,115,600.0,106
607,1,1,3.8,62,0,2,96,150.0,0
608,1,1,3.4,6,0,0,245,500.0,0
609,1,1,3.1,30,0,17,79,1000.0,0
610,1,1,3.5,10,0,2,76,300.0,0
611,1,1,3.6,36,0,0,248,500.0,0
612,1,1,3.7,31,0,4,10,300.0,0
614,1,1,3.2,11,0,4,20,600.0,0
615,1,1,3.0,98,0,17,38,800.0,0
616,1,1,3.5,18,0,24,249,150.0,0
617,1,1,3.5,10,0,0,71,500.0,0
618,1,1,2.7,128,0,0,40,850.0,0
620,0,1,2.8,45,0,0,163,800.0,107
621,0,1,3.2,119,0,0,38,400.0,0
622,0,1,3.4,12,0,24,193,150.0,0
624,1,1,3.3,4,0,4,22,500.0,0
628,0,1,0.0,0,0,0,250,500.0,108
629,0,1,3.5,41,9,22,183,400.0,0
630,0,1,3.7,405,0,0,36,750.0,109
631,0,1,3.9,388,0,0,150,650.0,110
632,1,1,4.7,651,0,2,33,100.0,0
633,0,1,0.0,0,0,2,227,300.0,111
634,0,1,4.3,734,0,2,80,200.0,112
635,1,1,3.7,21,0,2,5,450.0,0
